Row Labels,Average of T2M,Sum of PRECTOTCORR
2006,25.67180822,1765.41
1,17.17774194,0.02
2,23.52428571,7.8
3,27.28677419,3.34
4,29.71833333,165.77
5,29.96032258,304.86
6,28.48266667,343.7
7,28.45709677,258.18
8,27.93032258,226.48
9,27.62866667,376.68
10,26.28064516,73.52
11,22.32833333,4.28
12,19.25516129,0.78
2007,25.07035616,2561.84
1,17.39193548,0
2,21.25357143,40.16
3,25.68935484,10.89
4,29.27233333,226.95
5,29.33548387,219.53
6,28.374,567.3
7,28.18225806,689.75
8,28.35645161,282.03
9,27.44233333,198.27
10,25.53387097,247.46
11,22.44733333,79.5
12,17.43,0
2008,25.4404918,1597.26
1,17.45258065,32.79
2,19.13793103,16.87
3,26.79580645,38.98
4,30.023,62.91
5,30.92387097,186.77
6,28.43533333,309.92
7,28.21774194,297.46
8,27.95322581,272.72
9,27.57466667,174.79
10,25.85064516,197.84
11,22.33366667,0.16
12,20.39387097,6.05
2009,25.90128767,1802.84
1,19.53,0
2,22.13142857,10.95
3,27.27387097,36.96
4,30.897,52.15
5,30.10354839,241.39
6,29.24366667,276.9
7,28.72129032,419.77
8,28.46967742,408.31
9,27.70966667,213.16
10,25.53290323,115.11
11,22.534,22.57
12,18.52225806,5.57
2010,25.838,1779.02
1,17.70935484,0.03
2,21.39107143,19.39
3,28.1216129,40.1
4,31.16833333,107.35
5,29.57548387,312.66
6,28.64066667,387.53
7,28.58774194,168.21
8,28.40774194,274.2
9,27.632,191.13
10,26.39580645,207.7
11,23.63266667,7.9
12,18.61225806,62.82
2011,25.51649315,1621.48
1,16.78903226,0.28
2,21.78928571,1.08
3,26.92,41.64
4,29.23066667,91.24
5,29.46,295.58
6,28.579,269.24
7,28.38387097,237.6
8,27.79903226,464.83
9,27.671,178.38
10,26.67225806,41.27
11,23.01566667,0.15
12,19.73483871,0.19
2012,25.32639344,1507.08
1,18.31548387,11.95
2,21.48,17.78
3,27.04741935,12.87
4,29.43633333,224.8
5,30.13548387,146.08
6,29.51566667,241.18
7,28.67290323,273.72
8,28.20225806,279.96
9,27.62833333,163.08
10,25.22096774,71.35
11,21.22266667,59.82
12,17.00064516,4.49
2013,25.48238356,1663.85
1,16.19225806,0.18
2,21.545,7.58
3,27.44741935,23.91
4,30.473,77.75
5,28.79129032,452.72
6,28.71233333,297.74
7,28.43741935,223.43
8,27.86096774,222.98
9,27.94,189.86
10,26.26483871,165.6
11,22.37533333,0
12,19.61193548,2.1
2014,25.99057534,1703.59
1,18.24548387,0.02
2,21.04714286,15.84
3,26.69645161,16.92
4,31.85966667,70.69
5,31.41387097,245.42
6,29.50333333,432.78
7,28.65935484,223.85
8,28.16709677,369.87
9,27.796,264.74
10,26.34193548,57.6
11,23.00533333,0.03
12,18.93741935,5.83
2015,25.81841096,2143.03
1,19.16548387,4.8
2,22.48571429,23.99
3,26.97677419,20.37
4,27.96066667,254.87
5,29.2816129,219.37
6,28.79433333,410.12
7,28.07741935,607.9
8,28.1616129,318.41
9,28.10933333,212.91
10,26.73709677,66.62
11,23.977,2.12
12,19.95096774,1.55
2016,26.15464481,2546.87
1,18.89645161,45.12
2,24.01275862,38.94
3,28.13419355,67.59
4,30.327,145.3
5,29.36516129,494.03
6,28.801,216.86
7,28.22645161,545.59
8,28.35064516,384.14
9,27.983,319.25
10,26.84935484,166.7
11,22.941,122.66
12,20.00580645,0.69
2017,25.28326027,4630.56
1,18.29290323,3.11
2,22.52464286,15
3,24.97451613,235.76
4,27.34733333,546.73
5,28.48709677,389.06
6,28.33166667,700.69
7,28.14580645,758.21
8,28.29580645,880.2
9,28.11766667,541.88
10,26.43806452,411.47
11,22.286,18.69
12,20.05032258,129.76
2018,24.978,2706.29
1,15.39129032,5.47
2,21.33357143,29.56
3,26.54,62.41
4,27.45533333,411.17
5,27.65935484,625.67
6,28.423,483.28
7,28.62612903,480.24
8,28.45419355,279.99
9,28.234,204.46
10,25.66225806,71.17
11,22.88666667,21.62
12,18.94612903,31.25
2019,25.60665753,3002.23
1,18.98225806,0
2,21.88607143,86.8
3,25.60677419,39.26
4,29.443,130.48
5,29.92225806,437.19
6,28.94466667,495.49
7,28.52354839,747.84
8,28.57225806,369.16
9,28.03066667,316.4
10,25.92935484,298.76
11,23.46833333,69.05
12,17.85129032,11.8
2020,25.08838798,2866.87
1,16.81967742,48.8
2,19.41517241,2.72
3,25.54387097,56.29
4,28.19366667,258.8
5,28.42322581,520.54
6,28.37733333,445.77
7,28.61096774,451.88
8,28.43967742,283.15
9,28.447,364.98
10,27.74612903,393.91
11,22.74933333,38.04
12,18.16774194,1.99
2021,25.56106849,2337.36
1,17.56870968,3.22
2,20.92321429,0.05
3,27.91322581,28.36
4,30.67833333,89.44
5,29.46387097,360.29
6,28.253,472.47
7,28.55419355,412.24
8,28.34096774,401.81
9,27.83333333,230.33
10,26.81580645,213.72
11,21.48666667,17.75
12,18.64645161,107.68
2022,25.35,2262.84
1,17.56354839,23.91
2,18.98678571,46.07
3,26.5683871,19.98
4,30.535,119.02
5,29.00677419,465.48
6,27.99433333,438.57
7,28.40032258,174.3
8,28.56548387,278.33
9,28.01233333,356.8
10,26.27129032,328.12
11,22.584,4.13
12,19.34516129,8.13
2023,25.82616438,2552.87
1,17.99419355,9.47
2,22.12857143,4.52
3,26.19451613,130.48
4,29.33,105.52
5,29.51580645,300.34
6,29.12066667,453.92
7,29.01967742,295.17
8,28.64322581,504.14
9,28.528,318.92
